Artist Name,Date,Day,Time,City,State,Venue,Tour / Event Name,Presale Info,Event URL
Bruno Mars,APR 10,,,Las Vegas,"NV, Allegiant Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-las-vegas-nevada-04-10-2026/event/17006392EC27F1D2
Bruno Mars,APR 11,,,Las Vegas,"NV, Allegiant Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-las-vegas-nevada-04-11-2026/event/17006428E17A0F5D
Bruno Mars,APR 14,,,Glendale,"AZ, State Farm Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/event/Z7r9jZ1A7O98Y
Bruno Mars,APR 15,,,,,,Bruno Mars w/ Leon Thomas,,https://www.ticketmaster.com/event/Z7r9jZ1A7OxOV
Bruno Mars,APR 18,,,Arlington,"TX, Globe Life Field, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-arlington-texas-04-18-2026/event/0C00639099775C2C
Bruno Mars,APR 19,,,Arlington,"TX, Globe Life Field, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-arlington-texas-04-19-2026/event/0C006428157082EC
Bruno Mars,APR 22,,,Houston,"TX, NRG Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-houston-texas-04-22-2026/event/3A00639FE4CB9BD3
Bruno Mars,APR 25,,,Atlanta,"GA, Bobby Dodd Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/event/Z7r9jZ1A7O98S
Bruno Mars,APR 26,,,Atlanta,"GA, Bobby Dodd Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/event/Z7r9jZ1A7Ox1_
Bruno Mars,APR 29,,,Charlotte,"NC, Bank of America Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-charlotte-north-carolina-04-29-2026/event/2D00639D7F294445
Bruno Mars,MAY 02,,,Landover,"MD, Northwest Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/event/Z7r9jZ1A7O98g
Bruno Mars,MAY 03,,,Landover,"MD, Northwest Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/event/Z7r9jZ1A7OxGv
Bruno Mars,MAY 06,,,Nashville,"TN, Nissan Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/event/Z7r9jZ1A7O98z
Bruno Mars,MAY 09,,,Detroit,"MI, Ford Field, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-detroit-michigan-05-09-2026/event/08006392CADF66D0
Bruno Mars,MAY 10,,,Detroit,"MI, Ford Field, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-detroit-michigan-05-10-2026/event/0800642CD4776450
Bruno Mars,MAY 13,,,Minneapolis,"MN, U.S. Bank Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-minneapolis-minnesota-05-13-2026/event/06006396C3A4C35E
Bruno Mars,MAY 16,,,Chicago,"IL, Soldier Field, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-chicago-illinois-05-16-2026/event/040063939B7055E0
Bruno Mars,MAY 17,,,Chicago,"IL, Soldier Field, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-chicago-illinois-05-17-2026/event/040064297ED32E8A
Bruno Mars,MAY 20,,,Columbus,"OH, Ohio Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-columbus-ohio-05-20-2026/event/05006394EB3DD035
Bruno Mars,AUG 21,,,East Rutherford,"NJ, MetLife Stadium, Bruno Mars",The Romantic Tour,Bruno Mars - The Romantic Tour,,https://www.ticketmaster.com/bruno-mars-the-romantic-tour-east-rutherford-new-jersey-08-21-2026/event/0000639EE07FD3B7
Bruno Mars,,,,Lady Gaga,Bruno Mars,Die With A Smile (Official Music Video),,,
Michelle Wolf,JUN 11,,,Swindon,"United Kingdom, Wyvern Theatre, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-swindon-11-06-2026/event/3600643BC0AD5E34
Michelle Wolf,JUN 12,,,Northampton,"United Kingdom, Royal and Derngate, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-northampton-12-06-2026/event/1F00643A913821DD
Michelle Wolf,JUN 14,,,Chelmsford,"United Kingdom, Chelmsford Theatre, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-chelmsford-14-06-2026/event/3500643D905C2BA8
Michelle Wolf,JUN 18,,,Epsom,"United Kingdom, Epsom Playhouse, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-epsom-18-06-2026/event/1F00643AD51A62AC
Michelle Wolf,JUN 24,,,Poole,"United Kingdom, Lighthouse, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-poole-24-06-2026/event/1F00643AE4FF6F50
Michelle Wolf,JUN 25,,,Milton Keynes,United KingdomThe Stables,Milton Keynes,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-milton-keynes-25-06-2026/event/3700643A9E4A1A75
Michelle Wolf,JUN 27,,,Watford,"United Kingdom, Watford Palace Theatre, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-watford-27-06-2026/event/1F006442C7954C93
Michelle Wolf,JUL 02,,,Coventry,"United Kingdom, Warwick Arts Centre, Coventry, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-coventry-02-07-2026/event/1F00643CC11D6C21
Michelle Wolf,JUL 07,,,Farnham,"United Kingdom, Farnham Maltings, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-farnham-07-07-2026/event/3700643D081C82EE
Michelle Wolf,JUL 08,,,London,"United Kingdom, Soho Theatre Walthamstow, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-london-08-07-2026/event/3500643EA7943F77
Michelle Wolf,JUL 09,,,London,"United Kingdom, Soho Theatre Walthamstow, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-london-09-07-2026/event/3500643EAE8747CF
Michelle Wolf,JUL 11,,,Brighton,"United Kingdom, Corn Exchange, Brighton, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-brighton-11-07-2026/event/3500643C8FBE2350
Michelle Wolf,JUL 22,,,Newbury,"United Kingdom, Newbury Corn Exchange, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-newbury-22-07-2026/event/1F00643CF7918C7B
Michelle Wolf,JUL 23,,,Bath,"United Kingdom, Bath Komedia, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-bath-23-07-2026/event/1F00643CB0BC5652
Michelle Wolf,JUL 24,,,,,,Michelle Wolf: Best Job in the World,,https://www.universe.com/events/michelle-wolf-best-job-in-the-world-tickets-CH76WR?ref=ticketmaster
Michelle Wolf,JUL 24,,,Norwich,"United Kingdom, Epic Studios, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-norwich-24-07-2026/event/3700643CBA8C2EAD
Michelle Wolf,JUL 25,,,Bristol,"United Kingdom, Bristol Beacon, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-bristol-25-07-2026/event/3700643CBDF930D0
Michelle Wolf,JUL 29,,,Cheltenham,"United Kingdom, Cheltenham Town Hall, Michelle Wolf",Best Job in the World,Michelle Wolf - Best Job in the World,,https://www.ticketmaster.co.uk/michelle-wolf-best-job-in-the-cheltenham-29-07-2026/event/37006442CCD2353E
Charlie Wilson,MAY 09,,,,,,Charlie Wilson,,https://www.ticketmaster.com/charlie-wilson-danville-virginia-05-09-2026/event/01006425D9FBAAB6
Charlie Wilson,MAY 10,,,,,,Charlie Wilson,,https://www.ticketmaster.com/charlie-wilson-national-harbor-maryland-05-10-2026/event/15006426D0E87A76
Charlie Wilson,JUN 18,,,,,,Charlie Wilson,,https://www.ticketmaster.com/charlie-wilson-milwaukee-wisconsin-06-18-2026/event/07006443D80463AB
Charlie Wilson,JUL 24,,,,,,,,https://www.ticketmaster.com/cincinnati-music-festival-presented-by-pg-cincinnati-ohio-07-24-2026/event/1600635BD40459A7
Charlie Wilson,JUL 25,,,,,,Charlie Wilson,,https://www.ticketmaster.com/charlie-wilson-detroit-michigan-07-25-2026/event/0800637709AAA7D2
Taylor Swift,APR 24,,,Columbia,"SC, The Senate, Taylorville",An Unofficial Live Tribute,Taylorville - An Unofficial Live Tribute,,https://www.ticketmaster.com/taylorville-an-unofficial-live-tribute-columbia-south-carolina-04-24-2026/event/2D0062FC81821448
Taylor Swift,MAY 16,,,Maryland Heights,"MO, Saint Louis Music Park, Taylorville",A Tribute to Taylor Swift,Taylorville - A Tribute to Taylor Swift,,https://www.ticketmaster.com/taylorville-a-tribute-to-taylor-swift-maryland-heights-missouri-05-16-2026/event/0600638AA82BB8B2
Taylor Swift,MAY 30,,,Rogers,"AR, Walmart AMP, Taylorville",A Tribute to Taylor Swift,Taylorville - A Tribute to Taylor Swift,,https://www.ticketmaster.com/taylorville-a-tribute-to-taylor-swift-rogers-arkansas-05-30-2026/event/1B00636AADDBAED2
Taylor Swift,JUN 13,,,The Woodlands,"TX, The Cynthia Woods Mitchell Pavilion sponsored by Huntsman, Taylorville",A Tribute to Taylor Swift,Taylorville - A Tribute to Taylor Swift,,https://www.ticketmaster.com/taylorville-a-tribute-to-taylor-swift-the-woodlands-texas-06-13-2026/event/3A006449897E4C84
Taylor Swift,JUN 26,,,Irving,"TX, The Pavilion at Toyota Music Factory, Taylorville",A Tribute to Taylor Swift,Taylorville - A Tribute to Taylor Swift,,https://www.ticketmaster.com/taylorville-a-tribute-to-taylor-swift-irving-texas-06-26-2026/event/0C006443E874A339
Taylor Swift,JUN 27,,,,,,,,https://www.ticketmaster.com/taylorville-austin-texas-06-27-2026/event/3A006446B88DD369
Taylor Swift,OCT 03,,,Effingham,"IL, Effingham Performance Center, Taylorville",A Tribute to Taylor Swift,Taylorville - A Tribute to Taylor Swift,,https://www.ticketmaster.com/taylorville-a-tribute-to-taylor-swift-effingham-illinois-10-03-2026/event/07006428ABFC4D21
Chicago,FEB 18,,,,,,Chicago,,https://www.ticketmaster.com/chicago-las-vegas-nevada-02-18-2026/event/17006341FC3B73A2
Chicago,FEB 20,,,,,,Chicago,,https://www.ticketmaster.com/chicago-las-vegas-nevada-02-20-2026/event/17006341FC3D73B8
Chicago,FEB 21,,,,,,Chicago,,https://www.ticketmaster.com/chicago-las-vegas-nevada-02-21-2026/event/17006341FC4073C1
Chicago,FEB 25,,,,,,Chicago,,https://www.ticketmaster.com/chicago-las-vegas-nevada-02-25-2026/event/17006341FC4373C8
Chicago,FEB 27,,,,,,Chicago,,https://www.ticketmaster.com/chicago-las-vegas-nevada-02-27-2026/event/17006341FC45740B
Chicago,FEB 28,,,,,,Chicago,,https://www.ticketmaster.com/chicago-las-vegas-nevada-02-28-2026/event/17006341FC4874BE
Chicago,MAR 03,,,,,,Chicago,,https://www.ticketmaster.com/chicago-albuquerque-new-mexico-03-03-2026/event/1E00635191321E72
Chicago,MAR 04,,,,,,Chicago,,https://www.ticketmaster.com/chicago-el-paso-texas-03-04-2026/event/0C00634E94A929C0
Chicago,MAR 06,,,,,,Chicago,,https://www.ticketmaster.com/event/Z7r9jZ1A7Obfg
Chicago,MAR 07,,,,,,Chicago,,https://www.ticketmaster.com/event/Z7r9jZ1A7q0pA
Chicago,MAR 09,,,,,,Chicago,,https://www.ticketmaster.com/event/Z7r9jZ1A7OfPJ
Chicago,MAR 12,,,,,,Chicago (21+),,https://www.ticketmaster.com/event/Z7r9jZ1A7qMjV
Chicago,MAR 13,,,,,,Chicago (Under 18 with a parent or legal guardian),,https://www.ticketmaster.com/event/Z7r9jZ1A7OFeZ
Chicago,MAR 14,,,,,,Chicago,,https://www.ticketmaster.com/chicago-north-little-rock-arkansas-03-14-2026/event/1B006349A40B674E
Chicago,MAY 01,,,,,,Chicago,,https://www.ticketmaster.com/chicago-brandon-mississippi-05-01-2026/event/1B00635C909D4F3C
Chicago,MAY 02,,,Lake Charles,LAGolden Nugget,Lake Charles,Chicago (21+ Event),,https://www.ticketmaster.com/event/Z7r9jZ1A7qybf
Chicago,MAY 05,,,,,,Chicago,,https://www.ticketmaster.com/chicago-shreveport-louisiana-05-05-2026/event/1B006367A5F2B05A
Chicago,MAY 06,,,,,,Chicago,,https://www.ticketmaster.com/chicago-tupelo-mississippi-05-06-2026/event/1B00635DB3D57CEE
Chicago,MAY 08,,,,,,Chicago,,https://www.ticketmaster.com/chicago-biloxi-mississippi-05-08-2026/event/1B006365CDB9B977
Chicago,MAY 09,,,,,,Chicago,,https://www.ticketmaster.com/chicago-biloxi-mississippi-05-09-2026/event/1B006365CDBBB97A
